id,createdAt,updatedAt,deletedAt,name,description,parentTypeId,csiCode
b2379fec-9968-4251-8849-e3d85f363a55,2025-01-02T16:42:00.281Z,2025-01-02T16:42:00.281Z,,Absorption Water Chillers,"Absorption water chillers are thermally-driven cooling systems that use a heat source to drive a refrigeration cycle, utilizing an absorbent solution to remove heat from water or air, typically employed in large-scale commercial and industrial cooling applications with high energy efficiency.",376337dc-fee4-4321-ae1a-e99e490022f6,23 64 13
fb8d3b9f-e224-4933-9c56-90841251a5c0,2025-01-02T19:19:46.809Z,2025-01-02T19:19:46.809Z,,Across-the-Line Motor Controllers,"Across-the-line motor controllers are electrical devices that connect motors directly to their power supply at full voltage, typically featuring protection mechanisms like overload relays and providing basic start/stop control functionality.",fa870780-4c96-46f5-90a3-ad88b394ce6e,26 29 13.13
54be5192-ddd5-4364-81d5-d89792f72802,2025-01-02T17:04:34.064Z,2025-01-02T17:04:34.064Z,,Active Chilled Beams,A ceiling-mounted terminal device that combines primary ventilation air with chilled/heated water coils to induce room air circulation and provide space conditioning through convection and radiation.,94199660-4ccc-4ec7-9b0c-b24d7a495d7a,23 82 14.13
ea335283-29f2-4c92-bcb2-a16dfde0d377,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Active Harmonic Filters,Active Filtering Systems,3166cdf2-908f-434b-bc8a-2dae72629f52,26 43 23
9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Active PF Correction,Active PF Correction Systems,f30e33ce-4327-433e-9d21-88cfae98f2e3,26 43 36
15544bc3-7177-40a8-87ec-1d9e76d0eead,2025-01-02T19:02:49.021Z,2025-01-02T19:02:49.021Z,,Addressable Luminaire Lighting Controls,"Individual lighting fixtures with built-in control capabilities that can be uniquely addressed and controlled over a digital network, enabling fixture-level dimming, monitoring, and integration with building management systems.",c73ace54-6cdc-46ba-a49b-ee3cf6a7ebfd,26 09 43.16
b52c4420-9ce7-42b0-b70b-518a0f27df36,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Advanced Air Treatment Systems,Advanced Air Treatment,cd1a5c14-fba1-4e2e-a5ab-6946d4519cd7,23 44 00
ff75bdcf-ae42-4432-ba86-1d169eab66a8,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Advanced Heat Pump Systems,Modern Heat Pump Technologies,c6406ab5-d0f6-46f9-b4c0-f0d5d7c56379,23 81 40
24074cf0-d09f-4f23-b6e5-866c864d4844,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Air Coils,HVAC Coil Systems,6982528f-31ed-4a2c-adb7-f361fa284b6f,23 82 16
443c24bf-462f-46d6-9671-31ade4aa5eae,2025-01-01T22:41:03.096Z,2025-01-01T22:41:03.096Z,,Air Compressors,General Air Compressors,515d223a-b9b6-4490-82e4-12c2153962c8,22 15 13
