componentTypeName,componentTypeId,specTypeId,specTypeName,units,valueType,specCategory,description,min,max,options,alternateNames,alternateUnits
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,306287f8-2099-45c5-b447-402f9b0f046b,Chilled Water Flow Rate,GPM,NUMERIC,UNKNOWN,Chilled Water Flow Rate,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,ef46722d-a8a9-43be-a173-fcef24fc5199,Cooling Capacity,ton,NUMERIC,PRIMARY_SIZE,"The rate at which the absorption chiller can remove heat from the chilled water system, typically measured in refrigeration tons, BTU/h, or kW of cooling",,,[],"[""Chiller Capacity"",""Refrigeration Capacity""]","[""BTU/h"",""kW"",""MBH""]"
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,036154cb-448d-4067-8634-f98d783d7567,Electrical Power Input,kW,NUMERIC,UNKNOWN,Electrical Power Input,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,a38262a4-f5a8-49b0-bb54-5c1b13a4c3c0,Entering Hot Water Temperature,°F,NUMERIC,UNKNOWN,Entering Hot Water Temperature,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,a5065531-e445-4f72-9672-526323c171af,Heat Input,kW,NUMERIC,UNKNOWN,Heat Input,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,3bc43a39-fd75-4d6d-83d6-17fea2b0ee14,Hot Water/Steam Flow Rate,GPM,NUMERIC,UNKNOWN,Hot Water/Steam Flow Rate,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,74790da1-f0b3-436e-89de-f71486380c70,Operating Weight,lbs,NUMERIC,UNKNOWN,Operating Weight,,,,[],[]
Absorption Water Chillers,b2379fec-9968-4251-8849-e3d85f363a55,ea6d2f75-8e09-4805-9e77-267d57e1dcb9,Water Side Pressure Drop,ft,NUMERIC,UNKNOWN,Water Side Pressure Drop,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,980db7c1-d6d1-4916-876d-5d2e10e4aca9,Control Voltage,V,NUMERIC,UNKNOWN,Control Voltage,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,0101ec11-1744-44c4-8f58-85ab91aa20b0,Enclosure Type,NEMA Rating,NUMERIC,UNKNOWN,Enclosure Type,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,96a7ad3e-e9ab-4cc8-86ec-9c81c6195612,Horsepower Rating,HP,NUMERIC,PRIMARY_SIZE,"The horsepower rating of the motor that the across-the-line controller is designed to start and protect. This determines the size, capacity, and cost of the controller.",,,[],"[""HP"",""Motor HP""]","[""kW""]"
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,0e9a2afc-c9dc-4454-91f7-07c04e1a8952,Horsepower Rating,HP,NUMERIC,UNKNOWN,Horsepower Rating,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,10fa1ffe-b487-4310-b212-96f4840eb802,Operating Frequency,Hz,NUMERIC,UNKNOWN,Operating Frequency,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,8fab6cb5-85c5-448c-81d7-87483fb1a597,Protection Class,IP Rating,NUMERIC,UNKNOWN,Protection Class,,,,[],[]
Across-the-Line Motor Controllers,fb8d3b9f-e224-4933-9c56-90841251a5c0,cd178d7e-9d8f-44c6-a051-24503949f53a,Temperature Rating,°C,NUMERIC,UNKNOWN,Temperature Rating,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,7af4f9ea-5f3d-499d-b900-2703eb0db4a8,Cooling Capacity,BTU/h,NUMERIC,PRIMARY_SIZE,The rated cooling capacity of the active chilled beam unit,,,[],"[""Capacity"",""Nominal Cooling Capacity""]","[""MBH"",""W"",""kW"",""tons""]"
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,778e1224-58f6-4cb6-af6f-7227bc5c219a,Height,mm,NUMERIC,UNKNOWN,Height,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,8f849a97-11fb-48e5-86d7-de5a5abacc0c,Length,mm,NUMERIC,UNKNOWN,Length,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,cb7dad91-2c7f-4f67-a666-7bbdd238234d,Nozzle Pressure,inWC,NUMERIC,UNKNOWN,Nozzle Pressure,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,765b9740-8405-4b21-959f-76cf1bac78a9,Primary Air Flow,CFM,NUMERIC,UNKNOWN,Primary Air Flow,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,d3516a11-984c-41f0-9eae-837d669ed583,Static Pressure,inWC,NUMERIC,UNKNOWN,Static Pressure,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,0e811318-e489-4636-b52a-956488772df1,Water Temperature Differential,°F,NUMERIC,UNKNOWN,Water Temperature Differential,,,,[],[]
Active Chilled Beams,54be5192-ddd5-4364-81d5-d89792f72802,cc4503ac-3761-46ad-8235-325191dea98f,Width,mm,NUMERIC,UNKNOWN,Width,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,f7ad870f-65df-487b-be67-85a237292d77,Current Rating,A,NUMERIC,PRIMARY_SIZE,The maximum continuous current capacity the active harmonic filter can handle,,,[],"[""Rated Current"",""Amperage""]","[""Amps"",""Amperes""]"
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,947552b2-b690-405c-a6f4-9472445d0401,Current Total Harmonic Distortion,%,NUMERIC,UNKNOWN,Current Total Harmonic Distortion,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,788da59e-6174-4bfc-ba54-071ce152e89e,Harmonic Correction Time,ms,NUMERIC,UNKNOWN,Harmonic Correction Time,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,15547b1d-b4a0-4fa0-b7ad-47a2a2c1afe8,Heat Dissipation,BTU/h,NUMERIC,UNKNOWN,Heat Dissipation,,,,[],[]
